Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Switzerland,CHE,青春期生育率（每千名 15-19 岁女性生育数）,5.4812,5.4116,5.342,5.1734,5.0048,4.8362,4.6676,4.499,4.2998,4.1006,3.9014,3.7022,3.503,3.355,3.207,3.059,2.911,2.763
Channel Islands,CHI,青春期生育率（每千名 15-19 岁女性生育数）,13.656,13.01,12.364,12.075,11.786,11.497,11.208,10.919,10.4878,10.0566,9.6254,9.1942,8.763,8.3832,8.0034,7.6236,7.2438,6.864
Chile,CHL,青春期生育率（每千名 15-19 岁女性生育数）,60.3632,58.6966,57.03,56.6368,56.2436,55.8504,55.4572,55.064,54.8116,54.5592,54.3068,54.0544,53.802,51.252,48.702,46.152,43.602,41.052
China,CHN,青春期生育率（每千名 15-19 岁女性生育数）,9.911,9.33,8.749,8.4572,8.1654,7.8736,7.5818,7.29,7.3074,7.3248,7.3422,7.3596,7.377,7.4286,7.4802,7.5318,7.5834,7.635
Cote d'Ivoire,CIV,青春期生育率（每千名 15-19 岁女性生育数）,137.767,137.584,137.401,136.3116,135.2222,134.1328,133.0434,131.954,130.4458,128.9376,127.4294,125.9212,124.413,123.0558,121.6986,120.3414,118.9842,117.627
Cameroon,CMR,青春期生育率（每千名 15-19 岁女性生育数）,154.7712,152.3776,149.984,146.3422,142.7004,139.0586,135.4168,131.775,129.6118,127.4486,125.2854,123.1222,120.959,117.9272,114.8954,111.8636,108.8318,105.8
"Congo, Dem. Rep.",COD,青春期生育率（每千名 15-19 岁女性生育数）,125.4476,125.8948,126.342,127.2276,128.1132,128.9988,129.8844,130.77,130.4848,130.1996,129.9144,129.6292,129.344,128.3192,127.2944,126.2696,125.2448,124.22
"Congo, Rep.",COG,青春期生育率（每千名 15-19 岁女性生育数）,122.1396,121.8888,121.638,121.4256,121.2132,121.0008,120.7884,120.576,120.13,119.684,119.238,118.792,118.346,117.1226,115.8992,114.6758,113.4524,112.229
Colombia,COL,青春期生育率（每千名 15-19 岁女性生育数）,97.6814,96.6012,95.521,92.8456,90.1702,87.4948,84.8194,82.144,80.3788,78.6136,76.8484,75.0832,73.318,71.9846,70.6512,69.3178,67.9844,66.651
Comoros,COM,青春期生育率（每千名 15-19 岁女性生育数）,94.8934,93.5442,92.195,89.6594,87.1238,84.5882,82.0526,79.517,78.5028,77.4886,76.4744,75.4602,74.446,72.627,70.808,68.989,67.17,65.351
Cabo Verde,CPV,青春期生育率（每千名 15-19 岁女性生育数）,96.512,95.183,93.854,92.7968,91.7396,90.6824,89.6252,88.568,86.5846,84.6012,82.6178,80.6344,78.651,77.6726,76.6942,75.7158,74.7374,73.759
Costa Rica,CRI,青春期生育率（每千名 15-19 岁女性生育数）,74.9312,72.1836,69.436,68.2628,67.0896,65.9164,64.7432,63.57,62.8094,62.0488,61.2882,60.5276,59.767,58.5056,57.2442,55.9828,54.7214,53.46
Cuba,CUB,青春期生育率（每千名 15-19 岁女性生育数）,52.9062,50.9856,49.065,48.7594,48.4538,48.1482,47.8426,47.537,48.7802,50.0234,51.2666,52.5098,53.753,53.3208,52.8886,52.4564,52.0242,51.592
Curacao,CUW,青春期生育率（每千名 15-19 岁女性生育数）,41.2672,40.4536,39.64,39.144,38.648,38.152,37.656,37.16,36.7452,36.3304,35.9156,35.5008,35.086,33.6572,32.2284,30.7996,29.3708,27.942
Cayman Islands,CYM,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
Cyprus,CYP,青春期生育率（每千名 15-19 岁女性生育数）,9.5572,8.3916,7.226,7.0678,6.9096,6.7514,6.5932,6.435,6.1802,5.9254,5.6706,5.4158,5.161,5.0452,4.9294,4.8136,4.6978,4.582
Czech Republic,CZE,青春期生育率（每千名 15-19 岁女性生育数）,13.4416,12.4008,11.36,11.3114,11.2628,11.2142,11.1656,11.117,11.044,10.971,10.898,10.825,10.752,10.996,11.24,11.484,11.728,11.972
Germany,DEU,青春期生育率（每千名 15-19 岁女性生育数）,12.6676,12.5188,12.37,11.8502,11.3304,10.8106,10.2908,9.771,9.4294,9.0878,8.7462,8.4046,8.063,8.0694,8.0758,8.0822,8.0886,8.095
Djibouti,DJI,青春期生育率（每千名 15-19 岁女性生育数）,33.099,32.009,30.919,29.7976,28.6762,27.5548,26.4334,25.312,24.592,23.872,23.152,22.432,21.712,21.1378,20.5636,19.9894,19.4152,18.841
Dominica,DMA,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
Denmark,DNK,青春期生育率（每千名 15-19 岁女性生育数）,7.1736,6.8958,6.618,6.4682,6.3184,6.1686,6.0188,5.869,5.5824,5.2958,5.0092,4.7226,4.436,4.3734,4.3108,4.2482,4.1856,4.123
Dominican Republic,DOM,青春期生育率（每千名 15-19 岁女性生育数）,107.8534,107.1772,106.501,106.1268,105.7526,105.3784,105.0042,104.63,103.2216,101.8132,100.4048,98.9964,97.588,96.9224,96.2568,95.5912,94.9256,94.26
