Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,DZA,青春期生育率（每千名 15-19 岁女性生育数）,11.7556,10.7178,9.68,9.6814,9.6828,9.6842,9.6856,9.687,10.0608,10.4346,10.8084,11.1822,11.556,11.259,10.962,10.665,10.368,10.071
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,青春期生育率（每千名 15-19 岁女性生育数）,84.1908,84.1524,84.114,84.0088,83.9036,83.7984,83.6932,83.588,83.4192,83.2504,83.0816,82.9128,82.744,82.0474,81.3508,80.6542,79.9576,79.261
"Egypt, Arab Rep.",EGY,青春期生育率（每千名 15-19 岁女性生育数）,55.6848,54.0844,52.484,51.8576,51.2312,50.6048,49.9784,49.352,50.6334,51.9148,53.1962,54.4776,55.759,55.371,54.983,54.595,54.207,53.819
Euro area,EMU,青春期生育率（每千名 15-19 岁女性生育数）,10.74179522,10.73805153,10.72521506,10.54359878,10.35197566,10.15606904,9.962733941,9.774632675,9.380909536,8.98377359,8.584276328,8.180126385,7.780091157,7.554894109,7.332392666,7.114383033,6.893647809,6.673134152
Eritrea,ERI,青春期生育率（每千名 15-19 岁女性生育数）,88.595,85.49,82.385,81.1238,79.8626,78.6014,77.3402,76.079,72.9266,69.7742,66.6218,63.4694,60.317,58.7642,57.2114,55.6586,54.1058,52.553
Spain,ESP,青春期生育率（每千名 15-19 岁女性生育数）,9.3164,9.7432,10.17,10.684,11.198,11.712,12.226,12.74,11.9864,11.2328,10.4792,9.7256,8.972,8.7226,8.4732,8.2238,7.9744,7.725
Estonia,EST,青春期生育率（每千名 15-19 岁女性生育数）,26.2586,24.8888,23.519,23.3278,23.1366,22.9454,22.7542,22.563,21.2766,19.9902,18.7038,17.4174,16.131,14.4444,12.7578,11.0712,9.3846,7.698
Ethiopia,ETH,青春期生育率（每千名 15-19 岁女性生育数）,110.6438,108.3464,106.049,102.1638,98.2786,94.3934,90.5082,86.623,84.894,83.165,81.436,79.707,77.978,75.7278,73.4776,71.2274,68.9772,66.727
European Union,EUU,青春期生育率（每千名 15-19 岁女性生育数）,15.73518605,15.44607607,15.17582939,15.16524667,15.13507763,15.06333727,14.92890713,14.73729421,14.07441847,13.43919992,12.83586425,12.24391887,11.65605924,11.2607926,10.87391331,10.49255653,10.10931047,9.736329752
Finland,FIN,青春期生育率（每千名 15-19 岁女性生育数）,10.1402,10.3656,10.591,10.319,10.047,9.775,9.503,9.231,8.8694,8.5078,8.1462,7.7846,7.423,7.101,6.779,6.457,6.135,5.813
Fiji,FJI,青春期生育率（每千名 15-19 岁女性生育数）,42.88,42.023,41.166,41.9814,42.7968,43.6122,44.4276,45.243,45.375,45.507,45.639,45.771,45.903,46.593,47.283,47.973,48.663,49.353
France,FRA,青春期生育率（每千名 15-19 岁女性生育数）,7.6438,7.7854,7.927,7.7912,7.6554,7.5196,7.3838,7.248,7.128,7.008,6.888,6.768,6.648,6.2638,5.8796,5.4954,5.1112,4.727
Faroe Islands,FRO,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,青春期生育率（每千名 15-19 岁女性生育数）,38.4866,36.3748,34.263,32.4956,30.7282,28.9608,27.1934,25.426,24.052,22.678,21.304,19.93,18.556,17.6296,16.7032,15.7768,14.8504,13.924
Gabon,GAB,青春期生育率（每千名 15-19 岁女性生育数）,138.5048,134.1064,129.708,127.1218,124.5356,121.9494,119.3632,116.777,114.6548,112.5326,110.4104,108.2882,106.166,104.1782,102.1904,100.2026,98.2148,96.227
United Kingdom,GBR,青春期生育率（每千名 15-19 岁女性生育数）,28.0886,27.3458,26.603,26.354,26.105,25.856,25.607,25.358,23.9822,22.6064,21.2306,19.8548,18.479,17.4572,16.4354,15.4136,14.3918,13.37
Georgia,GEO,青春期生育率（每千名 15-19 岁女性生育数）,53.2282,50.7896,48.351,48.832,49.313,49.794,50.275,50.756,50.9344,51.1128,51.2912,51.4696,51.648,50.6,49.552,48.504,47.456,46.408
Ghana,GHA,青春期生育率（每千名 15-19 岁女性生育数）,83.9638,81.7144,79.465,78.3214,77.1778,76.0342,74.8906,73.747,73.3528,72.9586,72.5644,72.1702,71.776,70.743,69.71,68.677,67.644,66.611
Gibraltar,GIB,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
Guinea,GIN,青春期生育率（每千名 15-19 岁女性生育数）,168.9176,167.1008,165.284,163.303,161.322,159.341,157.36,155.379,153.4778,151.5766,149.6754,147.7742,145.873,143.7572,141.6414,139.5256,137.4098,135.294
"Gambia, The",GMB,青春期生育率（每千名 15-19 岁女性生育数）,123.7992,120.7466,117.694,114.8452,111.9964,109.1476,106.2988,103.45,100.9386,98.4272,95.9158,93.4044,90.893,88.3514,85.8098,83.2682,80.7266,78.185
Guinea-Bissau,GNB,青春期生育率（每千名 15-19 岁女性生育数）,130.187,128.766,127.345,125.902,124.459,123.016,121.573,120.13,117.664,115.198,112.732,110.266,107.8,107.2046,106.6092,106.0138,105.4184,104.823
Equatorial Guinea,GNQ,青春期生育率（每千名 15-19 岁女性生育数）,183.0362,180.9126,178.789,177.949,177.109,176.269,175.429,174.589,173.0264,171.4638,169.9012,168.3386,166.776,164.5452,162.3144,160.0836,157.8528,155.622
Greece,GRC,青春期生育率（每千名 15-19 岁女性生育数）,11.0336,10.8128,10.592,10.7362,10.8804,11.0246,11.1688,11.313,10.7582,10.2034,9.6486,9.0938,8.539,8.2758,8.0126,7.7494,7.4862,7.223
Grenada,GRD,青春期生育率（每千名 15-19 岁女性生育数）,55.2782,53.2156,51.153,49.404,47.655,45.906,44.157,42.408,40.998,39.588,38.178,36.768,35.358,34.1218,32.8856,31.6494,30.4132,29.177
Greenland,GRL,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
Guatemala,GTM,青春期生育率（每千名 15-19 岁女性生育数）,111.514,109.069,106.624,103.1252,99.6264,96.1276,92.6288,89.13,87.0182,84.9064,82.7946,80.6828,78.571,77.0428,75.5146,73.9864,72.4582,70.93
Guam,GUM,青春期生育率（每千名 15-19 岁女性生育数）,62.3426,59.8318,57.321,55.2848,53.2486,51.2124,49.1762,47.14,45.4516,43.7632,42.0748,40.3864,38.698,37.301,35.904,34.507,33.11,31.713
Guyana,GUY,青春期生育率（每千名 15-19 岁女性生育数）,97.1796,98.6798,100.18,98.6598,97.1396,95.6194,94.0992,92.579,90.6756,88.7722,86.8688,84.9654,83.062,81.326,79.59,77.854,76.118,74.382
"Hong Kong SAR, China",HKG,青春期生育率（每千名 15-19 岁女性生育数）,4.3656,4.0448,3.724,3.5802,3.4364,3.2926,3.1488,3.005,3.0082,3.0114,3.0146,3.0178,3.021,2.9578,2.8946,2.8314,2.7682,2.705
Honduras,HND,青春期生育率（每千名 15-19 岁女性生育数）,116.1338,113.6964,111.259,108.0484,104.8378,101.6272,98.4166,95.206,92.1836,89.1612,86.1388,83.1164,80.094,78.6576,77.2212,75.7848,74.3484,72.912
Croatia,HRV,青春期生育率（每千名 15-19 岁女性生育数）,16.773,15.992,15.211,15.0844,14.9578,14.8312,14.7046,14.578,13.8968,13.2156,12.5344,11.8532,11.172,10.6738,10.1756,9.6774,9.1792,8.681
Haiti,HTI,青春期生育率（每千名 15-19 岁女性生育数）,68.519,67.581,66.643,65.799,64.955,64.111,63.267,62.423,61.4516,60.4802,59.5088,58.5374,57.566,56.388,55.21,54.032,52.854,51.676
Hungary,HUN,青春期生育率（每千名 15-19 岁女性生育数）,22.8472,21.9326,21.018,20.7232,20.4284,20.1336,19.8388,19.544,19.6982,19.8524,20.0066,20.1608,20.315,21.0478,21.7806,22.5134,23.2462,23.979
Indonesia,IDN,青春期生育率（每千名 15-19 岁女性生育数）,50.3512,51.1856,52.02,51.917,51.814,51.711,51.608,51.505,51.299,51.093,50.887,50.681,50.475,49.8548,49.2346,48.6144,47.9942,47.374
Isle of Man,IMN,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
India,IND,青春期生育率（每千名 15-19 岁女性生育数）,66.837,63.498,60.159,57.039,53.919,50.799,47.679,44.559,41.2576,37.9562,34.6548,31.3534,28.052,25.077,22.102,19.127,16.152,13.177
Ireland,IRL,青春期生育率（每千名 15-19 岁女性生育数）,18.5508,18.6704,18.79,18.2878,17.7856,17.2834,16.7812,16.279,15.1788,14.0786,12.9784,11.8782,10.778,10.1254,9.4728,8.8202,8.1676,7.515
"Iran, Islamic Rep.",IRN,青春期生育率（每千名 15-19 岁女性生育数）,37.3756,35.0628,32.75,32.507,32.264,32.021,31.778,31.535,32.1422,32.7494,33.3566,33.9638,34.571,35.7838,36.9966,38.2094,39.4222,40.635
Iraq,IRQ,青春期生育率（每千名 15-19 岁女性生育数）,63.8182,63.4836,63.149,65.2888,67.4286,69.5684,71.7082,73.848,74.977,76.106,77.235,78.364,79.493,77.941,76.389,74.837,73.285,71.733
Iceland,ISL,青春期生育率（每千名 15-19 岁女性生育数）,19.7576,18.5038,17.25,16.66,16.07,15.48,14.89,14.3,13.312,12.324,11.336,10.348,9.36,8.7418,8.1236,7.5054,6.8872,6.269
Israel,ISR,青春期生育率（每千名 15-19 岁女性生育数）,16.6924,16.3722,16.052,15.6492,15.2464,14.8436,14.4408,14.038,13.539,13.04,12.541,12.042,11.543,11.1558,10.7686,10.3814,9.9942,9.607
Italy,ITA,青春期生育率（每千名 15-19 岁女性生育数）,6.8174,6.9472,7.077,7.0614,7.0458,7.0302,7.0146,6.999,6.778,6.557,6.336,6.115,5.894,5.7632,5.6324,5.5016,5.3708,5.24
Jamaica,JAM,青春期生育率（每千名 15-19 岁女性生育数）,87.8926,85.9368,83.981,81.9904,79.9998,78.0092,76.0186,74.028,71.3732,68.7184,66.0636,63.4088,60.754,59.1546,57.5552,55.9558,54.3564,52.757
Jordan,JOR,青春期生育率（每千名 15-19 岁女性生育数）,37.1052,35.7926,34.48,33.7066,32.9332,32.1598,31.3864,30.613,30.1072,29.6014,29.0956,28.5898,28.084,27.6426,27.2012,26.7598,26.3184,25.877
Japan,JPN,青春期生育率（每千名 15-19 岁女性生育数）,5.1366,5.3978,5.659,5.55,5.441,5.332,5.223,5.114,4.987,4.86,4.733,4.606,4.479,4.3392,4.1994,4.0596,3.9198,3.78
Kazakhstan,KAZ,青春期生育率（每千名 15-19 岁女性生育数）,34.3114,31.7192,29.127,28.9122,28.6974,28.4826,28.2678,28.053,28.7044,29.3558,30.0072,30.6586,31.31,30.998,30.686,30.374,30.062,29.75
Kenya,KEN,青春期生育率（每千名 15-19 岁女性生育数）,107.1176,105.6588,104.2,102.7784,101.3568,99.9352,98.5136,97.092,94.9042,92.7164,90.5286,88.3408,86.153,83.938,81.723,79.508,77.293,75.078
Kyrgyz Republic,KGZ,青春期生育率（每千名 15-19 岁女性生育数）,45.622,39.986,34.35,33.4292,32.5084,31.5876,30.6668,29.746,32.6004,35.4548,38.3092,41.1636,44.018,41.767,39.516,37.265,35.014,32.763
Cambodia,KHM,青春期生育率（每千名 15-19 岁女性生育数）,49.5172,48.8526,48.188,47.946,47.704,47.462,47.22,46.978,47.3456,47.7132,48.0808,48.4484,48.816,49.0882,49.3604,49.6326,49.9048,50.177
Kiribati,KIR,青春期生育率（每千名 15-19 岁女性生育数）,36.7252,35.1136,33.502,32.2492,30.9964,29.7436,28.4908,27.238,26.0172,24.7964,23.5756,22.3548,21.134,20.1426,19.1512,18.1598,17.1684,16.177
St. Kitts and Nevis,KNA,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,青春期生育率（每千名 15-19 岁女性生育数）,2.4844,2.3372,2.19,2.1518,2.1136,2.0754,2.0372,1.999,1.9524,1.9058,1.8592,1.8126,1.766,1.6886,1.6112,1.5338,1.4564,1.379
Kuwait,KWT,青春期生育率（每千名 15-19 岁女性生育数）,22.3212,20.9936,19.666,18.4026,17.1392,15.8758,14.6124,13.349,12.5684,11.7878,11.0072,10.2266,9.446,9.1956,8.9452,8.6948,8.4444,8.194
,LAC,青春期生育率（每千名 15-19 岁女性生育数）,83.42946809,82.44118021,81.44268529,80.00874202,78.5947346,77.20077232,75.81161602,74.43096202,73.31070216,72.1816562,71.04160391,69.88447321,68.71715544,67.72908173,66.73955783,65.74986275,64.73229828,63.72442549
Lao PDR,LAO,青春期生育率（每千名 15-19 岁女性生育数）,82.354,79.81,77.266,76.2206,75.1752,74.1298,73.0844,72.039,71.1644,70.2898,69.4152,68.5406,67.666,67.2148,66.7636,66.3124,65.8612,65.41
Lebanon,LBN,青春期生育率（每千名 15-19 岁女性生育数）,25.0224,23.0952,21.168,19.944,18.72,17.496,16.272,15.048,15.3332,15.6184,15.9036,16.1888,16.474,16.0792,15.6844,15.2896,14.8948,14.5
Liberia,LBR,青春期生育率（每千名 15-19 岁女性生育数）,148.8488,147.7614,146.674,145.5752,144.4764,143.3776,142.2788,141.18,140.7524,140.3248,139.8972,139.4696,139.042,138.426,137.81,137.194,136.578,135.962
Libya,LBY,青春期生育率（每千名 15-19 岁女性生育数）,7.1272,6.7316,6.336,6.3188,6.3016,6.2844,6.2672,6.25,6.225,6.2,6.175,6.15,6.125,6.0538,5.9826,5.9114,5.8402,5.769
St. Lucia,LCA,青春期生育率（每千名 15-19 岁女性生育数）,60.667,57.621,54.575,53.292,52.009,50.726,49.443,48.16,47.3608,46.5616,45.7624,44.9632,44.164,43.4384,42.7128,41.9872,41.2616,40.536
Liechtenstein,LIE,青春期生育率（每千名 15-19 岁女性生育数）,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,青春期生育率（每千名 15-19 岁女性生育数）,28.4064,28.1552,27.904,26.781,25.658,24.535,23.412,22.289,22.2006,22.1122,22.0238,21.9354,21.847,21.6628,21.4786,21.2944,21.1102,20.926
Lesotho,LSO,青春期生育率（每千名 15-19 岁女性生育数）,86.9672,87.4536,87.94,87.7282,87.5164,87.3046,87.0928,86.881,87.3072,87.7334,88.1596,88.5858,89.012,89.7548,90.4976,91.2404,91.9832,92.726
Lithuania,LTU,青春期生育率（每千名 15-19 岁女性生育数）,25.3534,23.2132,21.073,20.6424,20.2118,19.7812,19.3506,18.92,17.8216,16.7232,15.6248,14.5264,13.428,12.9132,12.3984,11.8836,11.3688,10.854
Luxembourg,LUX,青春期生育率（每千名 15-19 岁女性生育数）,11.0842,11.3926,11.701,11.286,10.871,10.456,10.041,9.626,8.9816,8.3372,7.6928,7.0484,6.404,6.0686,5.7332,5.3978,5.0624,4.727
Latvia,LVA,青春期生育率（每千名 15-19 岁女性生育数）,19.1344,18.2012,17.268,17.4462,17.6244,17.8026,17.9808,18.159,17.585,17.011,16.437,15.863,15.289,15.4654,15.6418,15.8182,15.9946,16.171
